"ItemID","Description","Barcode","Manufacturer","Qty","UnitPrice",
"AIVB17","Marware Case iPad Mini Vibe Red","602956011354","Marware","19","15.514798938822764",
"SW-COLT5-TU","Switcheasy Case iPod Touch5 Colors Turquoise","4897017129659","SwitchEasy","7","12.927599884772292",
"SW-COLT5-Y","Switcheasy Case iPod Touch5 Colors Yellow","4897017129611","SwitchEasy","11","12.927599884772292",
"SW-COLN7-R","Switcheasy Case iPod Nano7 Colors Red","4897017129857","SwitchEasy","0","9.3071996453285237",
"SW-COLN7-MT","Switcheasy Case iPod Nano7 Colors Green","4897017129956","SwitchEasy","18","9.3071996453285237",
"IP-1891","PDP Case iPhone 5 Marvel Iron Man","0708056518912","PDP","90","15.514798938822764",
"AISP1X","Marware Screen Protector Kit for iPad mini","602956011415","Marware","17","10.340400029635418",
"SW-MONI5-BK","SwitchEasy Case iPhone5 MONSTERS Ticky","4897017131058","SwitchEasy","11","12.927599884772292",
"JK-PINK-BOX","JLab Headphones JBuddies Pink","812887012607","JLab","8","12.927599884772292",
"IP-1889","PDP Case iPhone 5 Marvel Captain America","0708056518899","PDP","87","15.514798938822764",
"602956010869","Marware Case iPhone 5 MicroShell Onyx","602956010869","Marware","12","12.927599884772292",
"602956010876","Marware Case iPhone 5 MicroShell Goosebumps","602956010876","Marware","1","12.927599884772292",
"602956010968","Marware Case iPhone 5 rEVOLUTION Metal Jacket","602956010968","Marware","152","18.101998793959638",
"602956011071","Marware Purse iPhone 5 Zoey Luxor","602956011071","Marware","29","25.863599961543059",
"602956011088","Marware Purse iPhone 5 Zoey Onyx","602956011088","Marware","22","25.863599961543059",
"602956011095","Marware Case iPhone 5 FlipVue Black","602956011095","Marware","217","18.101998793959638",
"KIVB11","Marware Case Fire HD 8.9 Vibe Black","602956011286","Marware","50","18.101998793959638",
"C0020-JG","Uncommon Capsule Case iPhone 5 Hello Operator","846899016346","Uncommon","50","20.689198649096511",
"1014845","Klipsch Headphone Image E1 Black","743878024531","Klipsch","795","20.689198649096511",
"SMK5-005","Lunatik Case iPhone 5 SEISMIK Gray / Lime","852352003655","Minimal","0","18.101998793959638",
"SW-BONDI5-PU","SwitchEasy Case iPhone5 Bonds Furple Purple","4897017130754","SwitchEasy","27","18.101998793959638",
"CRASHER-GRY-BOX","JLab Speaker The Crasher Gray","812887012508","JLab","40","51.735598512911793",
"SW-BONDI5-GY","SwitchEasy Case iPhone5 Bonds Shadow Black","4897017131140","SwitchEasy","19","18.101998793959638",
"PM1-IN1-MF-RY","M-Edge Case iPad Mini Incline Raspberry","849108000303","M-Edge","18","16.03559962751865",
"TT5L-004","Lunatik Case iPhone 5 STRIKE Gray / Black / Silver","852352003594","Minimal","35","41.386799092364299",
"FLK5-004","Lunatik Case iPhone 5 FLAK Black / Red","852352003693","Minimal","23","18.101998793959638",
"AIAX15","Marware Case iPad Mini Axis Blue","602956011620","Marware","22","23.276398504233384",
"SMK5-002","Lunatik Case iPhone 5 SEISMIK Gray / Clear","852352003624","Minimal","10","18.101998793959638",
"TT5L-001","Lunatik Case iPhone 5 STRIKE Black / Blk / Silver","852352003563","Minimal","1","41.386799092364299",
"BT-900-00067-03","Beats Speaker iPhone4 Bluetooth Beatbox Black","848447001729","Beats by Dre","84","139.70039358756549",
"UN1-E3-ABS-GR","M-Edge e-Luminator Booklight\, Graphite","813580015599","M-Edge","0","10.340400029635418",
"AK3-Z1-C-B","M-Edge Case Kindle Fire Latitude Black","813580017906","M-Edge","18","18.101998793959638",
"KIVB1Y","Marware Case Fire HD 8.9 Vibe Purple","602956011309","Marware","24","18.101998793959638",
"SMK5-004","Lunatik Case iPhone 5 SEISMIK Gray / Blue","852352003648","Minimal","23","18.101998793959638",
"SMK5-003","Lunatik Case iPhone 5 SEISMIK Gray / Violet","852352003631","Minimal","35","18.101998793959638",
"DIEGO-GRYYLW-FOIL","JLab Headphone Diego Gray / Yellow","812887012867","JLab","20","10.340400029635418",
"DIEGO-BLKWHTBLU-FOIL","Jlab Headphone Diego Blue / White / Black","812887012874","JLab","20","10.340400029635418",
"AIAX1Y","Marware Case iPad Mini Axis Purple","602956011613","Marware","3","23.276398504233384",
"PD3-IN1-MF-DGY","M-Edge Incline Case for iPad 2 3 4\, Grey","813580017821","M-Edge","0","25.863599961543059",
"SW-COLN7-P","Switcheasy Case iPod Nano7 Colors Pink","4897017129871","SwitchEasy","15","9.3071996453285237",
"BT-900-00053-03","Beats Speaker Bluetooth Pill Black EU Plug","848447001897","Beats by Dre","5","139.70039358756549",
"BT-900-00054-03","Beats Speaker Bluetooth Pill Red EU Plug","848447001927","Beats by Dre","100","139.70039358756549",
"BT-900-00055-03","Beats Speaker Bluetooth Pill White EU Plug","848447001958","Beats by Dre","98","139.70039358756549",
"SW-VTGT-BL","SwitchEasy Case Galaxy Tab 7 VAULT Blue","4897017125675","SwitchEasy","9","25.863599961543059",
"SW-VTGT-R","SwitchEasy Case Galaxy Tab 7 VAULT Red","4897017125644","SwitchEasy","9","25.863599961543059",
"JI-1520","JIVO Cable Lighting 2100mA Sync White","5391514467690","Jivo Technology","2785","10.340400029635418",
"IEN2-BK-X","X-1 Headphones Surge Sportswrap Black/Blue","689076074117","H2O","1","31.037999671816806",
"JK-BLACK-BOX","JLab Headphones JBuddies Black","812887012584","JLab","5","12.927599884772292",
"DIEGO-BLKGRY-FOIL","JLab Headphone Diego Black / Gray","812887012850","JLab","20","10.340400029635418",
"1016002","Klipsch Headphone Image One II White","743878025392","Klipsch","957","77.607597064280526",
"AK4-GO1-MF-B","M-Edge Case Kindle Kindle Touch GO! Black","813580016855","M-Edge","40","18.101998793959638",
"AK4-GO1-MF-P","M-Edge Case Kindle Kindle Touch GO! Purple","813580016794","M-Edge","10","18.101998793959638",
"C0020-JC","Uncommon Case iPhone 5 Deflector Filmtastic TS","846899016247","Uncommon","7","18.101998793959638",
"BOMBORA-PRPL-BOX","Jlab Headphones Bombora- Prism Purple / Gray","812887012744","JLab","10","36.212399382090553",
